index,identifier,smiles,csd_spacegroup,wyckoff_spg,wyckoff_aflow
30,ABAVUX,CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(c1ccc(cc1)C#N)=C1C(=O)c2ccccc2C1=O.CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(c1ccc(cc1)C#N)=C1C(=O)c2ccccc2C1=O,"(2, 1)",A29B18C4D2_aP212_2_58i_36i_8i_4i:C-H-N-O,A29B18C4D2_aP212_2_58i_36i_8i_4i:C-H-N-O
31,ABAWEG,CC(=O)NCCNC(C)=O,"(2, 1)",A3BCD_aP12_2_3i_i_i_i:C-H-N-O,A3BCD_aP12_2_3i_i_i_i:C-H-N-O
32,ABAWEG01,CC(=O)NCCNC(C)=O,"(2, 1)",A3B6CD_aP22_2_3i_6i_i_i:C-H-N-O,A3B6CD_aP22_2_3i_6i_i_i:C-H-N-O
33,ABAWEH,CC(C)(C)CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O,"(2, 1)",A15B22C2D4_aP86_2_15i_22i_2i_4i:C-H-N-O,A15B22C2D4_aP86_2_15i_22i_2i_4i:C-H-N-O
34,ABAWIL,ON=Cc1cccc(Br)c1O,"(14, 1)",AB7C6DE2_mP68_14_e_7e_6e_e_2e:Br-C-H-N-O,AB7C6DE2_mP68_14_e_7e_6e_e_2e:Br-C-H-N-O
35,ABAWIM,COc1ccc(cc1)c1c(c(C)c(C#N)c(SC)c1c1cccc2ccccc12)c1ccc(OC)cc1OC,"(14, 1)",A34B29CD3E_mP272_14_34e_29e_e_3e_e:C-H-N-O-S,A34B29CD3E_mP272_14_34e_29e_e_3e_e:C-H-N-O-S
36,ABAWOQ,CC(=O)NCCCCNC(C)=O,"(2, 1)",A4BCD_aP14_2_4i_i_i_i:C-H-N-O,A4BCD_aP14_2_4i_i_i_i:C-H-N-O
37,ABAWOS,Cc1ccc(cc1)S(=O)(=O)Nc1c(F)cccc1C1=NCCO1,"(14, 1)",A16BC15D2E3F_mP152_14_16e_e_15e_2e_3e_e:C-F-H-N-O-S,A16BC15D2E3F_mP152_14_16e_e_15e_2e_3e_e:C-F-H-N-O-S
38,ABAWUY,CC1=C(N=NN1Cc1ccccc1)c1cc(nc(N)n1)c1ccccc1,"(15, 1)",A10B9C3_mC352_15_20f_18f_6f:C-H-N,A10B9C3_mC352_15_20f_18f_6f:C-H-N
39,ABAWUZ,C1CCC2N=Cc3ccc(cc3)c3ccc(cc3)C=NC3CCCCC3N=Cc3ccc(cc3)c3ccc(cc3)C=NC3CCCCC3N=Cc3ccc(cc3)c3ccc(cc3)C=NC2C1,"(4, 1)",A61B58C6_mP250_4_61a_58a_6a:C-H-N,A61B58C6_mP250_4_61a_58a_6a:C-H-N
40,ABAXAF,Cc1ccccc1c1cc(nc(N)n1)C1=C(C)N(Cc2ccccc2)N=N1,"(14, 1)",A21B20C6_mP188_14_21e_20e_6e:C-H-N,A21B20C6_mP188_14_21e_20e_6e:C-H-N
41,ABAXEJ,CC1=C(N=NN1Cc1ccccc1)c1cc(nc(N)n1)c1ccc(Cl)cc1Cl.CC1=C(N=NN1Cc1ccccc1)c1cc(nc(N)n1)c1ccc(Cl)cc1Cl,"(2, 1)",A10BC8D3_aP176_2_40i_4i_32i_12i:C-Cl-H-N,A10BC8D3_aP176_2_40i_4i_32i_12i:C-Cl-H-N
42,ABAXES,CC(=O)OC1CCC2C3CCC4CC(=O)C(Br)CC4C3(C)CCC12C,"(4, 1)",AB21C29D3_mP108_4_a_21a_29a_3a:Br-C-H-O,AB21C29D3_mP108_4_a_21a_29a_3a:Br-C-H-O
43,ABAYIN,CCOC(CP(=O)(c1ccccc1C)c1ccccc1C)OCC.O,"(2, 1)",A20B29C4D_aP108_2_20i_29i_4i_i:C-H-O-P,A20B29C4D_aP108_2_20i_29i_4i_i:C-H-O.-P
44,ABAYIP,Cc1ccc(cc1)S(=O)(=O)N(C=C1OCc2cc(ccc12)C(F)(F)F)[Si](C)(C)C(C)(C)C,"(15, 1)",A23B3C28DE3FG_mC480_15_23f_3f_28f_f_3f_f_f:C-F-H-N-O-S-Si,A23B3C28DE3FG_mC480_15_23f_3f_28f_f_3f_f_f:C-F-H-N-O-S-Si
45,ABAZOT,O=C(c1ccc(cc1)C#N)c1cc(cc(c1)C(=O)c1ccc(cc1)C#N)C(=O)c1ccc(cc1)C#N.CCC(=O)CC,"(2, 1)",A35B25C3D4_aP134_2_35i_25i_3i_4i:C-H-N-O,A35B25C3D4_aP134_2_35i_25i_3i_4i:C-H-N-O
46,ABAZUA,Cc1cc(C)c(c(C)c1)B1(c2ccccc2c2ccc(cn12)c1ccc(cc1)c1ccccn1)c1c(C)cc(C)cc1C,"(14, 1)",AB40C37D2_mP320_14_e_40e_37e_2e:B-C-H-N,AB40C37D2_mP320_14_e_40e_37e_2e:B-C-H-N
47,ABAZUB,O.COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,"(2, 1)",A26B2C28D5E4_aP130_2_26i_2i_28i_5i_4i:C-Cl-H-N-O,A26B2C28D5E4_aP130_2_26i_2i_28i_5i_4i:C-Cl-H-N-O
48,ABAZUY,FC(=O)SN=S=O,"(19, 1)",ABCD2E2_oP28_19_a_a_a_2a_2a:C-F-N-O-S,ABCD2E2_oP28_19_a_a_a_2a_2a:C-F-N-O-S
49,ABBRCH10,CC(C)CCCC(C)C1CCC2C3CCC4CC(Br)C(Br)CC4(C)C3CCC12C,"(4, 1)",A2B27C45_mP148_4_2a_27a_45a:Br-C-H,A2B27C45_mP148_4_2a_27a_45a:Br-C-H
50,ABCLCH,CC(C)CCCC(C)C1CCC2C3CCC4CC(Cl)C(Cl)CC4(C)C3CCC12C,"(4, 1)",A27B2C25_mP108_4_27a_2a_25a:C-Cl-H,A27B2C25_mP108_4_27a_2a_25a:C-Cl-H
51,ABCMHP,CC(=O)OC1C(OC(C)=O)C(O)(CBr)OC(CCl)(CBr)C1OC(C)=O,"(14, 1)",A2B14CD8_mP100_14_2e_14e_e_8e:Br-C-Cl-O,A2B14CD8_mP100_14_2e_14e_e_8e:Br-C-Cl-H-O
52,ABCNCX,[Br-].[NH3+]C1(C2CCCC1CCC2)C(O)=O.O,"(14, 1)",AB10C19DE3_mP136_14_e_10e_19e_e_3e:Br-C-H-N-O,AB10C19DE3_mP136_14_e_10e_19e_e_3e:Br-C-H-N-O
53,ABCOCX,[NH3+]C1(CCC2CCC1C2)C(=O)[O-].O,"(4, 1)",A9B17CD3_mP60_4_9a_17a_a_3a:C-H-N-O,A9B17CD3_mP60_4_9a_17a_a_3a:C-H-N-O
54,ABDECO10,COc1cc(OC)c(cc1Br)C1CCC2(C)C(=O)C3CC1C2(C3)OC(C)=O.c1ccccc1,"(2, 1)",AB24C25D5_aP110_2_i_24i_25i_5i:Br-C-H-O,AB24C25D5_aP110_2_i_24i_25i_5i:Br-C-H-O
55,ABDSCE,CC(C)CCCC(C)C1CCC2C3CCC(=O)CC4CC4C(=C)C3CCC12C,"(4, 1)",A27B38C_mP132_4_27a_38a_a:C-H-O,A27B38C_mP132_4_27a_38a_a:C-H-O
56,ABEBAK,COC(=O)C1=C(C)NC(=C(C1c1ccc(cc1)C1=CC(=O)c2ccccc2O1)C(=O)OC)C,"(14, 1)",A26BC6_mP132_14_26e_e_6e:C-N-O,A26BC6_mP132_14_26e_e_6e:C-H-N-O
57,ABEBEO,COc1cc2OC3OCCC3c2c(c1O)S(=O)c1ccc(C)cc1,"(19, 1)",A18B18C5D_oP168_19_18a_18a_5a_a:C-H-O-S,A18B18C5D_oP168_19_18a_18a_5a_a:C-H-O-S
58,ABEBEP,CC1(C)NC(=O)c2ccccc2NC1=O,"(2, 1)",A11B12C2D2_aP54_2_11i_12i_2i_2i:C-H-N-O,A11B12C2D2_aP54_2_11i_12i_2i_2i:C-H-N-O
59,ABEBER,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.CCC(C)O,"(14, 1)",A30B2C39D5E4_mP320_14_30e_2e_39e_5e_4e:C-Cl-H-N-O,A30B2C39D5E4_mP320_14_30e_2e_39e_5e_4e:C-Cl-H-N-O
60,ABEBIS,CS(=O)(=O)OC1C2CCC(O2)C=C1S(=O)(=O)c1ccccc1,"(4, 1)",A7B8C3D_mP76_4_14a_16a_6a_2a:C-H-O-S,A7B8C3D_mP76_4_14a_16a_6a_2a:C-H-O-S
61,ABEBIT,O=C1Nc2ccccc2C(=O)Nc2ccccc12.CN(C)C=O,"(2, 1)",A17B17C3D3_aP80_2_17i_17i_3i_3i:C-H-N-O,A17B17C3D3_aP80_2_17i_17i_3i_3i:C-H-N-O
62,ABEBIV,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.O.O,"(2, 1)",A26B2C33D5E5_aP142_2_26i_2i_33i_5i_5i:C-Cl-H-N-O,A26B2C33D5E5_aP142_2_26i_2i_33i_5i_5i:C-Cl-H-N-O
63,ABEBOY,CC1C(CCC(O)C=C1S(=O)(=O)c1ccccc1)O[Si](C)(C)C(C)(C)C,"(19, 1)",A20B32C4DE_oP232_19_20a_32a_4a_a_a:C-H-O-S-Si,A20B32C4DE_oP232_19_20a_32a_4a_a_a:C-H-O-S-Si
64,ABEBOZ,O=C1Nc2ccccc2C(=O)Nc2ccccc12.CCO,"(2, 1)",A16B13C2D3_aP68_2_16i_13i_2i_3i:C-H-N-O,A16B13C2D3_aP68_2_16i_13i_2i_3i:C-H-N-O
65,ABEBUE,OCC(N1Cc2ccccc2C(Cc2ccccc2)C1=O)c1ccccc1,"(4, 1)",A24B23CD2_mP100_4_24a_23a_a_2a:C-H-N-O,A24B23CD2_mP100_4_24a_23a_a_2a:C-H-N-O
66,ABEBUF,O=C1Nc2ccccc2C(=O)Nc2ccccc12.c1ccncc1,"(61, 1)",A19B15C3D2_oP312_61_19c_15c_3c_2c:C-H-N-O,A19B15C3D2_oP312_61_19c_15c_3c_2c:C-H-N-O
67,ABEBUH,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.O.O.O.O.O.O.O,"(2, 1)",A26B2C43D5E10_aP172_2_26i_2i_43i_5i_10i:C-Cl-H-N-O,A26B2C43D5E10_aP172_2_26i_2i_43i_5i_10i:C-Cl-H-N-O
68,ABECAO,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.O.O.C1COCCO1,"(2, 1)",A30B2C41D5E7_aP170_2_30i_2i_41i_5i_7i:C-Cl-H-N-O,A30B2C41D5E7_aP170_2_30i_2i_41i_5i_7i:C-Cl-H-N-O
69,ABECEP,O=C1OC(N2C3C4CC(C=C4)C3C2=O)c2ccccc12,"(61, 1)",A16BC3_oP160_61_16c_c_3c:C-N-O,A16BC3_oP160_61_16c_c_3c:C-H-N-O
70,ABECES,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.CS(C)=O.CS(C)=O.O.O.O.O.O.O,"(2, 1)",A28B2C41D5E7F_aP336_2_56i_4i_82i_10i_14i_2i:C-Cl-H-N-O-S,A28B2C41D5E7F_aP336_2_56i_4i_82i_10i_14i_2i:C-Cl-H-N-O-S
71,ABECIW,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl.CC(C)O.O.O,"(2, 1)",A29B2C41D5E6_aP166_2_29i_2i_41i_5i_6i:C-Cl-H-N-O,A29B2C41D5E6_aP166_2_29i_2i_41i_5i_6i:C-Cl-H-N-O
72,ABEDES,O=S(=O)(N1N=CC(C1c1ccccc1)=C(c1ccccc1)c1ccccc1)c1ccccc1.O=S(=O)(N1N=CC(C1c1ccccc1)=C(c1ccccc1)c1ccccc1)c1ccccc1,"(2, 1)",A28B22C2D2E_aP220_2_56i_44i_4i_4i_2i:C-H-N-O-S,A28B22C2D2E_aP220_2_56i_44i_4i_4i_2i:C-H-N-O-S
73,ABEDIU,C=CCOCC1=CSC(=N1)C1=NC(=C(S1)C1=C(COCC=C)N=C(S1)C1=NC(=CS1)COCC=C)COCC=C.C=CCOCC1=CSC(=N1)C1=NC(=C(S1)C1=C(COCC=C)N=C(S1)C1=NC(=CS1)COCC=C)COCC=C,"(2, 1)",A7BCD_aP80_2_28i_4i_4i_4i:C-N-O-S,A7BCD_aP80_2_28i_4i_4i_4i:C-H-N-O-S
74,ABEDIU01,C=CCOCC1=CSC(=N1)C1=NC(=C(S1)C1=C(COCC=C)N=C(S1)C1=NC(=CS1)COCC=C)COCC=C.C=CCOCC1=CSC(=N1)C1=NC(=C(S1)C1=C(COCC=C)N=C(S1)C1=NC(=CS1)COCC=C)COCC=C,"(2, 1)",A14B15C2D2E2_aP140_2_28i_30i_4i_4i_4i:C-H-N-O-S,A14B15C2D2E2_aP140_2_28i_30i_4i_4i_4i:C-H-N-O-S
75,ABEDIW,O=S(=O)(N1N=C(c2ccccc2)C(C1c1ccccc1)=C(c1ccccc1)c1ccccc1)c1ccccc1,"(2, 1)",A34B26C2D2E_aP130_2_34i_26i_2i_2i_i:C-H-N-O-S,A34B26C2D2E_aP130_2_34i_26i_2i_2i_i:C-H-N-O-S
76,ABEDOA,OCCCOCC1=CSC(=N1)C1=NC(=C(S1)C1=C(COCCCO)N=C(S1)C1=NC(=CS1)COCCCO)COCCCO,"(2, 1)",A7BC2D_aP44_2_14i_2i_4i_2i:C-N-O-S,A7BC2D_aP44_2_14i_2i_4i_2i:C-H-N-O-S
77,ABEDOA01,OCCCOCC1=CSC(=N1)C1=NC(=C(S1)C1=C(COCCCO)N=C(S1)C1=NC(=CS1)COCCCO)COCCCO,"(2, 1)",A14B19C2D4E2_aP82_2_14i_19i_2i_4i_2i:C-H-N-O-S,A14B19C2D4E2_aP82_2_14i_19i_2i_4i_2i:C-H-N-O-S
78,ABEDOC,O=S(=O)(NC(c1ccccc1)C(C#N)=C(c1ccccc1)c1ccccc1)c1ccccc1,"(2, 1)",A28B22C2D2E_aP110_2_28i_22i_2i_2i_i:C-H-N-O-S,A28B22C2D2E_aP110_2_28i_22i_2i_2i_i:C-H-N-O-S
79,ABEDOE,N1c2ccc(cc2c2cc(ccc12)c1ccccc1)c1ccccc1,"(19, 1)",A24B17C_oP168_19_24a_17a_a:C-H-N,A24B17C_oP168_19_24a_17a_a:C-H-N
80,ABEFAO,CC(N)=CC(=O)CC(O)c1ccc(C)cc1,"(5, 1)",A13B17CD2_mC132_5_13c_17c_c_2c:C-H-N-O,A13B17CD2_mC132_5_13c_17c_c_2c:C-H-N-O
81,ABEFAP,COc1ccc(cc1)C(=O)NC(=S)Nc1ccccc1OC,"(2, 1)",A16B16C2D3E_aP76_2_16i_16i_2i_3i_i:C-H-N-O-S,A16B16C2D3E_aP76_2_16i_16i_2i_3i_i:C-H-N-O-S
82,ABEFAQ,CC1OC(=O)C(C(C)C(=O)c2ccccc2)C(C1c1ccccc1)c1ccccc1,"(2, 1)",A27B26C3_aP112_2_27i_26i_3i:C-H-O,A27B26C3_aP112_2_27i_26i_3i:C-H-O
83,ABEFAR,[Br-].OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2,"(4, 1)",AB29C34DE2_mP134_4_a_29a_34a_a_2a:Br-C-H-N-O,AB29C34DE2_mP134_4_a_29a_34a_a_2a:Br-C-H-N-O
84,ABEFES,CC12SC3(C)S(=O)(=O)C(C)(SC(C)(S1(=O)=O)S3(=O)=O)S2(=O)=O,"(61, 1)",A4B6C4D3_oP272_61_8c_12c_8c_6c:C-H-O-S,A4B6C4D3_oP272_61_8c_12c_8c_6c:C-H-O-S
85,ABEFEU,CC1C(O)C(C)C(=O)OC1c1ccccc1,"(4, 1)",A13B16C3_mP64_4_13a_16a_3a:C-H-O,A13B16C3_mP64_4_13a_16a_3a:C-H-O
86,ABEFIW,FB12Oc3ccccc3c3cccc(c4ccccc4O1)n23,"(14, 1)",AB17CD11EF2_mP132_14_e_17e_e_11e_e_2e:B-C-F-H-N-O,AB17CD11EF2_mP132_14_e_17e_e_11e_e_2e:B-C-F-H-N-O
87,ABEFIX,[Cl-].Oc1ccc[n+](CC(=O)[O-])c1.OC(=O)C[n+]1cccc(O)c1,"(29, 1)",A14BC15D2E6_oP152_29_14a_a_15a_2a_6a:C-Cl-H-N-O,A14BC15D2E6_oP152_29_14a_a_15a_2a_6a:C-Cl-H-N-O
88,ABEFOD,Clc1ccc(cc1)C=C1CCCCCCC1=O,"(4, 1)",A15BC17D_mP68_4_15a_a_17a_a:C-Cl-H-O,A15BC17D_mP68_4_15a_a_17a_a:C-Cl-H-O
89,ABEFUJ01,S=C1NN=C(Cc2ccccc2)N1c1ccccc1,"(9, 1)",A15B13C3D_mC128_9_15a_13a_3a_a:C-H-N-S,A15B13C3D_mC128_9_15a_13a_3a_a:C-H-N-S
90,ABEGAR,O=C(c1ccccc1)C(c1ccccc1)=C(c1ccccc1)C(c1ccccc1)=C(c1ccccc1)C(c1ccccc1)=C(c1ccccc1)C(c1ccccc1)=C(c1ccccc1)C(=O)c1ccccc1,"(14, 1)",A35B25C_mP488_14_70e_50e_2e:C-H-O,A35B25C_mP488_14_70e_50e_2e:C-H-O
91,ABEGAR01,O=C(c1ccccc1)C(c1ccccc1)=C(c1ccccc1)C(c1ccccc1)=C(c1ccccc1)C(c1ccccc1)=C(c1ccccc1)C(c1ccccc1)=C(c1ccccc1)C(=O)c1ccccc1,"(14, 1)",A35B25C_mP488_14_70e_50e_2e:C-H-O,A35B25C_mP488_14_70e_50e_2e:C-H-O
92,ABEGAS,CC(C)=CCCC(C)=CCN1CN(CNC1=NN(=O)=O)c1ccc(Cl)cc1,"(14, 1)",A19BC26D5E2_mP212_14_19e_e_26e_5e_2e:C-Cl-H-N-O,A19BC26D5E2_mP212_14_19e_e_26e_5e_2e:C-Cl-H-N-O
93,ABEGET,Cc1cc(C)c2CC3C(C)(C)CCCC3(C)Oc2c1.Cc1cc(C)c2CC3C(C)(C)CCCC3(C)Oc2c1.Cc1cc(C)c2CC3C(C)(C)CCCC3(C)Oc2c1.Cc1cc(C)c2CC3C(C)(C)CCCC3(C)Oc2c1,"(1, 1)",A72B101C4_aP177_1_72a_101a_4a:C-H-O,A72B101C4_aP177_1_72a_101a_4a:C-H-O
94,ABEGEU,Oc1cccc(c1)C#N,"(2, 1)",A7B5CD_aP28_2_7i_5i_i_i:C-H-N-O,A7B5CD_aP28_2_7i_5i_i_i:C-H-N-O
95,ABEGEV,O=C(C(CC1(C=C(C=C(C1C(=O)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,"(2, 1)",A23B18C_aP168_2_46i_36i_2i:C-H-O,A23B18C_aP168_2_46i_36i_2i:C-H-O
96,ABEGIY,O=C1OC(=CC=C1)C=Cc1ccccc1,"(61, 1)",A13B10C2_oP200_61_13c_10c_2c:C-H-O,A13B10C2_oP200_61_13c_10c_2c:C-H-O
97,ABEGIY01,O=C1OC(=CC=C1)C=Cc1ccccc1,"(61, 1)",A13B10C2_oP200_61_13c_10c_2c:C-H-O,A13B10C2_oP200_61_13c_10c_2c:C-H-O
98,ABEGIZ,O=C(C1C2(OC3(C(C(=C2c2ccccc2)c2ccccc2)C1(c1ccccc1)C(=C3c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,"(2, 1)",A29B21C_aP204_2_58i_42i_2i:C-H-O,A29B21C_aP204_2_58i_42i_2i:C-H-O
99,ABEGIZ01,O=C(C1C2(OC3(C(C(=C2c2ccccc2)c2ccccc2)C1(c1ccccc1)C(=C3c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,"(2, 1)",A29B21C_aP204_2_58i_42i_2i:C-H-O,A29B21C_aP204_2_58i_42i_2i:C-H-O
100,ABEGOE,CCOC(=O)CN1C(=O)N(C)C2=C(N(C)C=N2)C1=O,"(14, 1)",A11B14C4D4_mP132_14_11e_14e_4e_4e:C-H-N-O,A11B14C4D4_mP132_14_11e_14e_4e_4e:C-H-N-O
101,ABEGOH,OC(=O)C1C2CC(C=C2)C1C(=O)N1CCCC1,"(19, 1)",A13B17CD3_oP136_19_13a_17a_a_3a:C-H-N-O,A13B17CD3_oP136_19_13a_17a_a_3a:C-H-N-O
102,ABEGUK,OCC12OCC3OB(OC3C1OB(O2)c1ccccc1)c1ccccc1.CC(C)=O,"(19, 1)",A2B21C27D7_oP228_19_2a_21a_27a_7a:B-C-H-O,A2B21C27D7_oP228_19_2a_21a_27a_7a:B-C-H-O
103,ABEGUL,Brc1ccc(cc1)C1(CCCC(=O)C1)CN(=O)=O,"(19, 1)",AB13C14DE3_oP128_19_a_13a_14a_a_3a:Br-C-H-N-O,AB13C14DE3_oP128_19_a_13a_14a_a_3a:Br-C-H-N-O
0,ABEHAQ,O[Si+3]12([O-]C(=O)C([O-]1)(c1ccccc1)c1ccccc1)[O-]C(=O)C([O-]2)(c1ccccc1)c1ccccc1.CC[NH+](CC)CC,"(2, 1)",A34B37CD7E_aP160_2_34i_37i_i_7i_i:C-H-N-O-Si,A34B37CD7E_aP160_2_34i_37i_i_7i_i:C-H-N-O-Si
1,ABEHAR,Cc1cc(C)c(c(C)c1)C1(C)CC(C1)C(=O)CN1CCCC1,"(86, 2)",A20B29CD_tP408_86_20g_29g_g_g:C-H-N-O,A20B29CD_tP408_86_20g_29g_g_g:C-H-N-O
2,ABEHAS,CC1(CCC2=C(C1)Nc1ccc(Br)cc21)CN(=O)=O,"(19, 1)",AB14C15D2E2_oP136_19_a_14a_15a_2a_2a:Br-C-H-N-O,AB14C15D2E2_oP136_19_a_14a_15a_2a_2a:Br-C-H-N-O
3,ABEHEV,CN(C)C(=O)Sc1c(C=O)cc(cc1C=O)C(C)(C)C,"(14, 1)",A15B19CD3E_mP156_14_15e_19e_e_3e_e:C-H-N-O-S,A15B19CD3E_mP156_14_15e_19e_e_3e_e:C-H-N-O-S
4,ABEHEW,O=P(c1ccccc1)(c1ccccc1)c1cccc2OCCOCCOCCOCCOc3cccc(c3c12)P(=O)(c1ccccc1)c1ccccc1,"(61, 1)",A44B42C7D2_oP760_61_44c_42c_7c_2c:C-H-O-P,A44B42C7D2_oP760_61_44c_42c_7c_2c:C-H-O-P
5,ABEHIY,O=C1[O-][Si+3]2(O[Si+3]34([O-]C(=O)C([O-]3)(c3ccccc3)c3ccccc3)[O-]C(=O)C([O-]4)(c3ccccc3)c3ccccc3)([O-]C(=O)C([O-]2)(c2ccccc2)c2ccccc2)[O-]C1(c1ccccc1)c1ccccc1.[NH3+]c1ccccc1.[NH3+]c1ccccc1.CC#N.CC#N,"(2, 1)",A72B62C4D13E2_aP306_2_72i_62i_4i_13i_2i:C-H-N-O-Si,A72B62C4D13E2_aP306_2_72i_62i_4i_13i_2i:C-H-N-O-Si
6,ABEHOE,C1CCO(C1)[Na]12345(O6CCCC6)(O6CCCC6)c6c1c2:B3(C=Cc1ccc(cc1)C=CB12:c3c7c8c9c:1[Na]23789(O1CCCC1)(O1CCCC1)O1CCCC1):c4c56,"(15, 1)",AB22C33DE3_mC480_15_f_22f_33f_f_3f:B-C-H-Na-O,AB22C33DE3_mC480_15_f_22f_33f_f_3f:B-C-H-Na-O
7,ABEHOF,O=N(=O)c1cc(c([O-])c(c1)N(=O)=O)N(=O)=O.[NH3+]C(C(C)C)C(O)=O,"(4, 1)",A11B14C4D9_mP76_4_11a_14a_4a_9a:C-H-N-O,A11B14C4D9_mP76_4_11a_14a_4a_9a:C-H-N-O
8,ABEHOI,COC1CC23C(C4CC(N(CC4=CC)C=O)C2(O1)N(C(=O)OC(C)(C)C)c1ccccc31)C(=O)OC.COC1CC23C(C4CC(N(CC4=CC)C=O)C2(O1)N(C(=O)OC(C)(C)C)c1ccccc31)C(=O)OC,"(2, 1)",A27B34C2D7_aP280_2_54i_68i_4i_14i:C-H-N-O,A27B34C2D7_aP280_2_54i_68i_4i_14i:C-H-N-O
9,ABEHUL,CN1CCC(CC1)(C#N)C1=CSc2ccccc12,"(29, 1)",A15B16C2D_oP136_29_15a_16a_2a_a:C-H-N-S,A15B16C2D_oP136_29_15a_16a_2a_a:C-H-N-S
10,ABEJAV,COc1ccc(cc1OC)C(C)(C)C1C(=O)OC(C)(C)OC1=O,"(14, 1)",A17B22C6_mP180_14_17e_22e_6e:C-H-O,A17B22C6_mP180_14_17e_22e_6e:C-H-O
11,ABEJEX,COc1ccc(cc1)C(=O)NN=Cc1cccc(OC)c1O.O,"(19, 1)",A16B18C2D5_oP164_19_16a_18a_2a_5a:C-H-N-O,A16B18C2D5_oP164_19_16a_18a_2a_5a:C-H-N-O
12,ABEJEX01,COc1ccc(cc1)C(=O)NN=Cc1cccc(OC)c1O.O,"(19, 1)",A16B18C2D5_oP164_19_16a_18a_2a_5a:C-H-N-O,A16B18C2D5_oP164_19_16a_18a_2a_5a:C-H-N-O
13,ABEJEZ,COc1ccc(CC2(C)C(=O)OC(C)(C)OC2=O)cc1OC,"(14, 1)",A8B10C3_mP168_14_16e_20e_6e:C-H-O,A8B10C3_mP168_14_16e_20e_6e:C-H-O
14,ABEJIB,CCOC1(CCC(=O)N1C)C(C)O,"(14, 1)",A9B17CD3_mP120_14_9e_17e_e_3e:C-H-N-O,A9B17CD3_mP120_14_9e_17e_e_3e:C-H-N-O
15,ABEJIC,c1ccc2c(c1)cccc2C#Cc1ccccc1C#Cc1cccc2ccccc12,"(2, 1)",A5B3_aP96_2_30i_18i:C-H,A5B3_aP96_2_30i_18i:C-H
16,ABEJID,COc1ccc(cc1OC)C(C)C1(C)C(=O)OC(C)(C)OC1=O.COc1ccc(cc1OC)C(C)C1(C)C(=O)OC(C)(C)OC1=O,"(2, 1)",A17B22C6_aP180_2_34i_44i_12i:C-H-O,A17B22C6_aP180_2_34i_44i_12i:C-H-O
17,ABEJOH,O=C1NC2C(N(CN2N(=O)=O)N(=O)=O)N1N(=O)=O,"(14, 1)",A4B5C7D7_mP92_14_4e_5e_7e_7e:C-H-N-O,A4B5C7D7_mP92_14_4e_5e_7e_7e:C-H-N-O
18,ABEJOJ,COc1ccc(CC2C(=O)OC(C)(C)OC2=O)cc1OC,"(2, 1)",A5B6C2_aP78_2_15i_18i_6i:C-H-O,A5B6C2_aP78_2_15i_18i_6i:C-H-O
19,ABEJUN,CC[NH+](CC)CCSCC(=O)OC1CC(C)(C=C)C(O)C(C)C23CCC(C)C1(C)C2C(=O)CC3.OC(=O)C=CC(=O)[O-].CO,"(19, 1)",A33B55CD9E_oP396_19_33a_55a_a_9a_a:C-H-N-O-S,A33B55CD9E_oP396_19_33a_55a_a_9a_a:C-H-N-O-S
20,ABEJUO,CC1C2C3OC(=O)C(CSc4ccccc4)C3C(O)CC(=C)C2CC1=O,"(4, 1)",A21B24C4D_mP100_4_21a_24a_4a_a:C-H-O-S,A21B24C4D_mP100_4_21a_24a_4a_a:C-H-O-S
21,ABEJUP,COc1ccc(cc1OC)C(C)C1C(=O)OC(C)(C)OC1=O,"(19, 1)",A8B10C3_oP168_19_16a_20a_6a:C-H-O,A8B10C3_oP168_19_16a_20a_6a:C-H-O
22,ABEKAT,CCC1C(CC)c2ccccc2C2(SC32CCCc2ccccc32)c2ccccc12,"(152, 1)",A29B30C_hP360_152_29c_30c_c:C-H-S,A29B30C_hP360_152_29c_30c_c:C-H-S
