index,identifier,smiles,csd_spacegroup,wyckoff_spg,wyckoff_aflow
64,ABAHER,CC(=C)C1CC=C(C)C(=O)C1C1=CNc2ccccc12.CC(=C)C1CC=C(C)C(=O)C1C1=CNc2ccccc12.CC(=C)C1CC=C(C)C(=O)C1C1=CNc2ccccc12.CC(=C)C1CC=C(C)C(=O)C1C1=CNc2ccccc12,"(1, 1)",A18B20CD_aP160_1_72a_80a_4a_4a:C-H-N-O,A18B20CD_aP160_1_72a_80a_4a_4a:C-H-N-O
65,ABAHES,CC1=C(c2cc(Cl)ccc2O1)S(=O)(=O)C1CCCC1,"(2, 1)",A14BC15D3E_aP68_2_14i_i_15i_3i_i:C-Cl-H-O-S,A14BC15D3E_aP68_2_14i_i_15i_3i_i:C-Cl-H-O-S
66,ABAHET,CC1COc2c(F)c(F)ccc2N1C(=O)C1CCCN1S(=O)(=O)c1ccc(C)cc1,"(4, 1)",A21B2C22D2E4F_mP104_4_21a_2a_22a_2a_4a_a:C-F-H-N-O-S,A21B2C22D2E4F_mP104_4_21a_2a_22a_2a_4a_a:C-F-H-N-O-S
67,ABAHEU,N1C(=NC(=C1c1ccccc1)c1ccccc1)C1=CC=CO1.N1C(=NC(=C1c1ccccc1)c1ccccc1)C1=CC=CO1,"(33, 1)",A19B14C2D_oP288_33_38a_28a_4a_2a:C-H-N-O,A19B14C2D_oP288_33_38a_28a_4a_2a:C-H-N-O
68,ABAHIW,CC(C)OC(=O)c1ccc(cc1)N(=O)=O,"(2, 1)",A10B11CD4_aP52_2_10i_11i_i_4i:C-H-N-O,A10B11CD4_aP52_2_10i_11i_i_4i:C-H-N-O
69,ABAHIX,CC1CCc2cc(F)ccc2N1C(=O)C1CCCN1S(=O)(=O)c1ccc(C)cc1,"(19, 1)",A22BC25D2E3F_oP216_19_22a_a_25a_2a_3a_a:C-F-H-N-O-S,A22BC25D2E3F_oP216_19_22a_a_25a_2a_3a_a:C-F-H-N-O-S
70,ABAHIX01,CC1CCc2cc(F)ccc2N1C(=O)C1CCCN1S(=O)(=O)c1ccc(C)cc1,"(19, 1)",A22BC25D2E3F_oP216_19_22a_a_25a_2a_3a_a:C-F-H-N-O-S,A22BC25D2E3F_oP216_19_22a_a_25a_2a_3a_a:C-F-H-N-O-S
71,ABAHOD,Cc1ccc(cc1)S(=O)(=O)N1CCCC1C(=O)N1C(COc2ccccc12)C(C)(C)C,"(19, 1)",A24B30C2D4E_oP244_19_24a_30a_2a_4a_a:C-H-N-O-S,A24B30C2D4E_oP244_19_24a_30a_2a_4a_a:C-H-N-O-S
72,ABAHUI,CCOC(=O)C(=NNc1cccc(OC)c1)C(C)=O,"(2, 1)",A13B16C2D4_aP70_2_13i_16i_2i_4i:C-H-N-O,A13B16C2D4_aP70_2_13i_16i_2i_4i:C-H-N-O
73,ABAJAQ,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-].[NH2+]1CC[NH2+]CC1,"(14, 1)",A7B9CD3E_mP84_14_7e_9e_e_3e_e:C-H-N-O-S,A7B9CD3E_mP84_14_7e_9e_e_3e_e:C-H-N-O-S
74,ABAJEU,COC(=O)C(CBr)=Cc1ccccc1Cl,"(14, 1)",AB11CD10E2_mP100_14_e_11e_e_10e_2e:Br-C-Cl-H-O,AB11CD10E2_mP100_14_e_11e_e_10e_2e:Br-C-Cl-H-O
75,ABAJIY,COc1ccc2ccc(OC)c(C(=O)c3c(C)cc(C)cc3C)c2c1,"(14, 1)",A22B22C3_mP188_14_22e_22e_3e:C-H-O,A22B22C3_mP188_14_22e_22e_3e:C-H-O
76,ABAJOE,C[N+]1=C2C=CC=CN2C(=C1[O-])C(=O)c1ccc(Cl)cc1,"(14, 1)",A15BC11D2E2_mP124_14_15e_e_11e_2e_2e:C-Cl-H-N-O,A15BC11D2E2_mP124_14_15e_e_11e_2e_2e:C-Cl-H-N-O
77,ABAJUK,COc1cc(Br)cc(C=NNC(=O)CC2=CNc3ccccc23)c1O.COc1cc(Br)cc(C=NNC(=O)CC2=CNc3ccccc23)c1O.COc1cc(Br)cc(C=NNC(=O)CC2=CNc3ccccc23)c1O,"(14, 1)",AB18C16D3E3_mP492_14_3e_54e_48e_9e_9e:Br-C-H-N-O,AB18C16D3E3_mP492_14_3e_54e_48e_9e_9e:Br-C-H-N-O
78,ABAKAR,N#CC1=C(SC2=C1CCN(Cc1ccccc1)C2)N=P(c1ccccc1)(c1ccccc1)c1ccccc1,"(14, 1)",A33B28C3DE_mP264_14_33e_28e_3e_e_e:C-H-N-P-S,A33B28C3DE_mP264_14_33e_28e_3e_e_e:C-H-N-P-S
79,ABAKEV01,O=Cc1ccc2ccccc2n1,"(19, 1)",A10B7CD_oP76_19_10a_7a_a_a:C-H-N-O,A10B7CD_oP76_19_10a_7a_a_a:C-H-N-O
80,ABAKEV02,O=Cc1ccc2ccccc2n1.O=Cc1ccc2ccccc2n1,"(14, 1)",A10B7CD_mP152_14_20e_14e_2e_2e:C-H-N-O,A10B7CD_mP152_14_20e_14e_2e_2e:C-H-N-O
81,ABAKOF,CC1=[NH+]c2ccccc2N1.CC1=[NH+]c2ccccc2N1.OC(=O)c1ccccc1C(=O)[O-].OC(=O)c1ccccc1C(=O)[O-],"(2, 1)",A8B7CD2_aP144_2_32i_28i_4i_8i:C-H-N-O,A8B7CD2_aP144_2_32i_28i_4i_8i:C-H-N-O
82,ABAKOH,CCCCC1=NC(=C(N1)c1ccccc1)c1ccccc1,"(61, 1)",A19B20C2_oP328_61_19c_20c_2c:C-H-N,A19B20C2_oP328_61_19c_20c_2c:C-H-N
83,ABAKUK,CCC1OC(=O)C(NC(=O)OC(C)(C)C)C1C,"(19, 1)",A12B21CD4_oP152_19_12a_21a_a_4a:C-H-N-O,A12B21CD4_oP152_19_12a_21a_a_4a:C-H-N-O
84,ABALAS,C#CCNC1=Nc2ccccc2S1,"(14, 1)",A10B8C2D_mP84_14_10e_8e_2e_e:C-H-N-S,A10B8C2D_mP84_14_10e_8e_2e_e:C-H-N-S
85,ABALAT,COC(C(C)C)C(=O)NC(C)c1ccccc1,"(4, 1)",A14B21CD2_mP76_4_14a_21a_a_2a:C-H-N-O,A14B21CD2_mP76_4_14a_21a_a_2a:C-H-N-O
86,ABALEV,CC(C(O)c1ccc(Br)cc1)C(O)c1ccc(Br)cc1.CC(C)O,"(4, 1)",A2B19C24D3_mP96_4_2a_19a_24a_3a:Br-C-H-O,A2B19C24D3_mP96_4_2a_19a_24a_3a:Br-C-H-O
87,ABALEX,COC(C1CCOS(=O)(=O)N1)c1ccccc1,"(15, 1)",A11B15CD4E_mC256_15_11f_15f_f_4f_f:C-H-N-O-S,A11B15CD4E_mC256_15_11f_15f_f_4f_f:C-H-N-O-S
88,ABALIA,COc1ccc(C=NNC(=O)c2ccc(O)cc2)cc1O,"(14, 1)",A15B14C2D4_mP140_14_15e_14e_2e_4e:C-H-N-O,A15B14C2D4_mP140_14_15e_14e_2e_4e:C-H-N-O
89,ABALOG,CCC1[NH2+]CCCC1.[Cl-],"(60, 1)",A7BC16D_oP200_60_7d_d_16d_d:C-Cl-H-N,A7BC16D_oP200_60_7d_d_16d_d:C-Cl-H-N
90,ABALUM,CC1=NNC(=O)C1=NNc1ccc(Cl)cc1,"(14, 1)",A10BC9D4E_mP100_14_10e_e_9e_4e_e:C-Cl-H-N-O,A10BC9D4E_mP100_14_10e_e_9e_4e_e:C-Cl-H-N-O
91,ABAMAS,CC(C)(C)C(Nc1cccc(c1)P(=O)(c1ccccc1)c1ccccc1)C(C)(C)C,"(2, 1)",A27B34CDE_aP128_2_27i_34i_i_i_i:C-H-N-O-P,A27B34CDE_aP128_2_27i_34i_i_i_i:C-H-N-O-P
92,ABAMAT,[I-].[NH3+]CCCCCCCN,"(4, 1)",A7B19CD2_mP58_4_7a_19a_a_2a:C-H-I-N,A7B19CD2_mP58_4_7a_19a_a_2a:C-H-I-N
93,ABAMEX,CC1=NN(C(=O)C1=C(Nc1ccccc1N)c1ccccc1)c1ccccc1,"(14, 1)",A23B20C4D_mP192_14_23e_20e_4e_e:C-H-N-O,A23B20C4D_mP192_14_23e_20e_4e_e:C-H-N-O
94,ABAMEX01,CC1=NN(C(=O)C1=C(Nc1ccccc1N)c1ccccc1)c1ccccc1,"(14, 1)",A23B20C4D_mP192_14_23e_20e_4e_e:C-H-N-O,A23B20C4D_mP192_14_23e_20e_4e_e:C-H-N-O
95,ABAMEX02,CC1=NN(C(=O)C1=C(Nc1ccccc1N)c1ccccc1)c1ccccc1,"(14, 1)",A23B20C4D_mP192_14_23e_20e_4e_e:C-H-N-O,A23B20C4D_mP192_14_23e_20e_4e_e:C-H-N-O
96,ABAMIB,NC(N=[N+]=[N-])=NS(=O)(=O)c1ccccc1,"(2, 1)",A7B7C5D2E_aP44_2_7i_7i_5i_2i_i:C-H-N-O-S,A7B7C5D2E_aP44_2_7i_7i_5i_2i_i:C-H-N-O-S
